Country,Value,Group,Coordinates,Label
Japan,0.18,Asia,36.8513 139.1112,Japan
Jordan,0.18,Asia,30.7659 36.4909,Jordan
Kazakhstan,0.1,Europe,48.9437 67.6303,Kazakhstan
Kenya,-0.31,Africa,0.4145 37.8745,Kenya
Kiribati,-0.43,Oceania,1.8719 202.6221,Kiribati
Democratic People’s Republic of Korea,0.18,Asia,39.6627 126.2592,Democratic People’s Republic of Korea
Republic of Korea,0.18,Asia,36.0655 127.7929,Republic of Korea
Kosovo (under UNSCR 1244),4,Group C,42.5794 20.8954,Kosovo (under UNSCR 1244)
Kuwait,0.18,Asia,29.3073 47.6003,Kuwait
Kyrgyzstan,0.18,Asia,41.7909 74.9911,Kyrgyzstan
Lao People’s Democratic Republic,1,Group D,19.9325 102.4435,Lao People’s Democratic Republic
Latvia,0.1,Europe,56.7925 26.9435,Latvia
Lebanon,0.18,Asia,33.9117 35.8708,Lebanon
Lesotho,-0.31,Africa,-29.6255 28.1698,Lesotho
Liberia,-0.31,Africa,6.7929 -9.9769,Liberia
Libya,-0.31,Africa,25.9354 20.7569,Libya
Liechtenstein,0.1,Europe,47.122 9.546,Liechtenstein
Lithuania,0.1,Europe,55.1395 23.822,Lithuania
Luxembourg,0.1,Europe,49.7275 5.9585,Luxembourg
Macao,6,Group C,22.1348 113.5571,Macao
Madagascar,-0.31,Africa,-18.821 46.8655,Madagascar
Malawi,-0.31,Africa,-13.3315 33.8445,Malawi
Malaysia,0.18,Asia,5.3893 117.3568,Malaysia
Maldives,0.18,Asia,4.1909 73.5081,Maldives
Mali,-0.31,Africa,18.4654 -1.9417,Mali
Malta,0.1,Europe,35.8975 14.4185,Malta
Marshall islands,8,Group B,7.1195 171.0875,Marshall islands
Mauritania,-0.31,Africa,19.1695 -9.4755,Mauritania
Mauritius,-0.31,Africa,-20.2793 57.5696,Mauritius
Mexico,2.38,America,23.63 -101.97,Mexico
Micronesia (Federated States of),9,Group A,6.8827 158.234,Micronesia (Federated States of)
Moldova,0.1,Europe,47.2036 28.4105,Moldova
Monaco,0.1,Europe,43.7399 7.3989,Monaco
Mongolia,0.18,Asia,46.1689 105.3854,Mongolia
Montenegro,0.1,Europe,42.7891 19.2862,Montenegro
Montserrat,2.38,America,16.7375 -62.1874,Montserrat
Morocco,1-0.31,Africa,31.7 -7.1325,Morocco
Mozambique,-0.31,Africa,-13.497 38.127,Mozambique
Myanmar,0.18,Asia,21.5841 96.1867,Myanmar
Namibia,-0.31,Africa,-20.7238 17.0299,Namibia
Nauru,-0.43,Oceania,-0.521 166.9325,Nauru
Nepal,0.18,Asia,28.9136 81.5974,Nepal
Netherlands,0.1,Europe,52.157 5.2035,Netherlands
New Zealand,-0.43,Oceania,-44.7201 169.9667,New Zealand
Nicaragua,2.38,America,12.8482 -85.0204,Nicaragua
Niger,-0.31,Africa,17.3457 9.3245,Niger
Nigeria,-0.31,Africa,9.6551 8.1061,Nigeria
Niue (New Zealand),-0.43,Oceania,-19.0535 -169.8665,Niue (New Zealand)
North Macedonia,0.1,Europe,41.6059 21.6977,North Macedonia
Norway,0.1,Europe,60.5366 7.4496,Norway
Oman,10.18,Asia,22.019 57.368,Oman
Pakistan,10.18,Asia,29.3252 68.7733,Pakistan
Palau,-0.43,Oceania,7.5364 134.583,Palau
State of Palestine,0.18,Asia,31.9479 35.2478,State of Palestine
Panama,2.38,America,8.4165 -81.7705,Panama
Papua New Guinea,-0.43,Oceania,-6.1227 143.5162,Papua New Guinea
Paraguay,12.38,America,-21.9074 -60.1206,Paraguay
Peru,2.38,America,-13.1699 -73.0464,Peru
Philippines,0.18,Asia,17.3711 121.4954,Philippines
Poland,0.1,Europe,52.1484 19.311,Poland
Portugal,0.1,Europe,38.7993 -8.3502,Portugal
Puerto Rico (USA),2.38,America,18.234 -66.955,Puerto Rico (USA)
Qatar,0.18,Asia,25.3217 51.1836,Qatar
Romania,0.1,Europe,45.857 24.9433,Romania
Russian Federation,10.18,Asia,63.4218 94.1005,Russian Federation
Rwanda,-0.31,Africa,-2.0136 29.9188,Rwanda
Saint Kitts and Nevis,2.38,America,17.3322 -62.7583,Saint Kitts and Nevis
Saint Lucia,2.38,America,13.9027 -60.9703,Saint Lucia
Saint Vincent and the Grenadines,2.38,America,13.2566 -61.1938,Saint Vincent and the Grenadines
Samoa,-0.43,Oceania,-13.6305 -172.4382,Samoa
San Marino,0.1,Europe,43.9365 12.4423,San Marino
Sao Tome and Principe,4,Group B,0.2356 6.6075,Sao Tome and Principe
Saudi Arabia,0.18,Asia,23.7603 45.0093,Saudi Arabia
Senegal,-0.31,Africa,14.9983 -14.9588,Senegal
Serbia,0.1,Europe,44.2085 20.7935,Serbia
Seychelles,-0.31,Africa,-4.6761 55.4673,Seychelles
Sierra Leone,-0.31,Africa,8.5306 -11.7953,Sierra Leone
Singapore,0.18,Asia,1.3565 103.8215,Singapore
Slovakia,0.1,Europe,48.7266 19.5075,Slovakia
Slovenia,0.1,Europe,46.152 15.1315,Slovenia
Solomon islands,5,Group C,-9.6225 160.1702,Solomon islands
Somalia,-0.31,Africa,2.7588 42.8849,Somalia
South Africa,-0.31,Africa,-29.6482 23.1067,South Africa
South Sudan,-0.31,Africa,7.2928 30.1985,South Sudan
Spain,0.1,Europe,40.3544 -3.611,Spain
Sri Lanka,0.18,Asia,7.7004 80.6672,Sri Lanka
Sudan,-0.31,Africa,16.5644 29.0451,Sudan
Suriname,2.38,America,4.1199 -55.9116,Suriname
Sweden,0.1,Europe,58.581 14.246,Sweden
Switzerland,0.1,Europe,46.7919 8.1183,Switzerland
Syrian Arab Republic,0.18,Asia,35.0126 38.5441,Syrian Arab Republic
Tajikistan,0.18,Asia,38.3213 72.1918,Tajikistan
Tanzania,-0.31,Africa,-5.6989 34.2839,Tanzania
Thailand,0.18,Asia,15.4439 100.9692,Thailand
Timor-Leste,1,Group B,-8.7676 125.9664,Timor-Leste
Togo,-0.31,Africa,8.8015 0.9075,Togo
Tokelau,-0.43,Oceania,-9.3462 -171.1946,Tokelau
Tonga,-0.43,Oceania,-21.1655 -175.2625,Tonga
Trinidad and Tobago,2.38,America,10.4282 -61.3304,Trinidad and Tobago
Tunisia,-0.31,Africa,33.7774 9.0109,Tunisia
Turkey,0.1,Europe,39.3196 34.3321,Turkey
Turkmenistan,0.18,Asia,39.4791 59.5154,Turkmenistan
Turks and Caicos Islands,2.38,America,21.8092 -71.7418,Turks and Caicos Islands
Tuvalu,-0.43,Oceania,-8.5042 179.2049,Tuvalu
Uganda,-0.31,Africa,1.9676 32.9896,Uganda
Ukraine,0.1,Europe,48.8464 33.5486,Ukraine
United Arab Emirates,0.18,Asia,23.3865 54.2485,United Arab Emirates
United Kingdom,0.1,Europe,52.4072 -1.7451,United Kingdom
United States of America,2.38,America,39.382 -99.3421,United States of America
Uruguay,2.38,America,-32.781 -56.0032,Uruguay
Uzbekistan,0.18,Asia,41.8936 63.8434,Uzbekistan
Vanuatu,-0.43,Oceania,-15.296 166.885,Vanuatu
Holy See,1,Group B,41.9035 12.4535,Holy See
Venezuela,2.38,America,7.1583 -64.0124,Venezuela
Viet Nam,0.18,Asia,21.5866 105.3047,Viet Nam
Yemen,0.18,Asia,15.3921 45.4111,Yemen
Zambia,-0.31,Africa,-14.9226 26.1418,Zambia
Zimbabwe,-0.31,Africa,-18.907 29.7885,Zimbabwe
